timestamp_end,operator_id,game_name,fund_type,no_of_bets,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,GGR,game_variant,total_transactions,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,transaction_types,transaction_classes,game_id,game_category,game_type,operator,brand_id,currency_code,revenue_amt,bets_won_cnt,bets_refunded_cnt,bets_adjusted_cnt,forfeit_amt,network_adjust_amt,tax_player_income_amt,slip_issued_cnt,slip_unclaimed_cnt,slip_unclaimed_amt,slips_expired_cnt,slips_expired_amt,period_type,period_start,fip_period_type,fip_period_start,report_date_time,status_date_time,seq_number,last_report,partition_id,report_id,source_type,source_file,total_stake,total_payout,total_bets,date,exclusion_reason,is_zero_stake,is_missing_operator,is_zero_payout,is_zero_bets,stake_to_payout_ratio,avg_stake_per_bet
2024-12-31,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,149024624.42000002,8624668.0,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2024-12-31,,,2025-01-01T00:55:14.307Z,,1.0,true,1,8460ba4b-cdc5-4e46-b649-5549ace53d2a,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20241231_001.zip,0.0,0.0,0.0,2024-12-31,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-01,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,136493117.5,14352232.84,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-01,,,2025-01-02T00:55:15.378Z,,1.0,true,1,caa80c35-2da5-47bb-919b-577b465112e3,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250101_001.zip,0.0,0.0,0.0,2025-01-01,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-02,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,134295293.06,8694425.1,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-02,,,2025-01-03T00:55:13.314Z,,1.0,true,1,02d195af-073f-45cd-afb9-58d682c1e545,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250102_001.zip,0.0,0.0,0.0,2025-01-02,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-03,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,108198999.1,14915066.32,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-03,,,2025-01-04T00:55:14.537Z,,1.0,true,1,fce1cf2c-d235-4e35-8d83-69905dcd6372,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250103_001.zip,0.0,0.0,0.0,2025-01-03,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-04,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,122478619.42,16586581.04,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-04,,,2025-01-05T00:58:13.448Z,,1.0,true,1,f4f0746b-8d8a-415b-9b59-d4f409189ff6,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250104_001.zip,0.0,0.0,0.0,2025-01-04,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-05,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,3,80450345.75999999,7257938.18,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-05,,,2025-01-06T00:55:14.530Z,,1.0,true,1,3fd29a43-99ba-4553-b9a8-25341c5c0316,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250105_001.zip,0.0,0.0,0.0,2025-01-05,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-06,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,3,54405848.03,3796492.93,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-06,,,2025-01-07T00:55:14.799Z,,1.0,true,1,295515c3-cddd-40de-97f4-9f896a97d3a3,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250106_001.zip,0.0,0.0,0.0,2025-01-06,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-07,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,3,59358299.67,5312142.71,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-07,,,2025-01-08T00:55:14.274Z,,1.0,true,1,3b1f9873-7534-4124-844c-644c637b9721,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250107_001.zip,0.0,0.0,0.0,2025-01-07,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-08,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,113117159.46,7077148.82,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-08,,,2025-01-09T00:55:14.598Z,,1.0,true,1,f6a2f3aa-ccf4-4c1a-ac4e-5ac6368b8430,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250108_001.zip,0.0,0.0,0.0,2025-01-08,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-09,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,100417569.44,9580080.02,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-09,,,2025-01-10T00:55:14.557Z,,1.0,true,1,e9b029d9-3979-42e5-ba09-5c3a84e40769,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250109_001.zip,0.0,0.0,0.0,2025-01-09,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-01-10,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,127330801.46,10735687.34,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-01-10,,,2025-01-11T00:55:16.180Z,,1.0,true,1,e570e8a6-c4c5-4439-b75e-02a768f545ec,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250110_001.zip,0.0,0.0,0.0,2025-01-10,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
