operator,stake_real_money,anomaly_type,anomaly_score,predicted_stake,deviation_pct,stake_z_score
OP_0005,459420.98,regression_deviation,-1.8322938642133169,-551993.7125023073,1.8322938642133169,
OP_0005,11229705.76,regression_deviation,-2.2258441808108405,3481168.0696794624,2.2258441808108405,
OP_0005,12030291.99,regression_deviation,-5.3789535025420925,1885935.0495666382,5.3789535025420925,
OP_0005,21462686.91,regression_deviation,-7.094089863356394,2651649.199889167,7.094089863356394,
OP_0005,10993001.87,regression_deviation,-3.421417814709067,2486306.9564312026,3.421417814709067,
OP_0005,12412053.67,regression_deviation,-3.7530345186421314,2611395.650782257,3.7530345186421314,
OP_0005,9557367.71,regression_deviation,-1.7064500841950083,3531329.7539875717,1.7064500841950083,
OP_0005,35102035.15,regression_deviation,-6.134560074386211,4919999.941695051,6.134560074386211,
OP_0005,34925571.48,regression_deviation,-12.719629365292638,2545664.3579857405,12.719629365292638,
OP_0005,12047367.91,regression_deviation,-2.3385239723350795,3608591.1048808955,2.3385239723350795,
OP_0005,5117331.62,regression_deviation,-1.5375151122258768,2016670.4014271428,1.5375151122258768,
OP_0005,8278450.01,regression_deviation,-2.1639535930104907,2616489.075025618,2.1639535930104907,
OP_0005,5931788.93,regression_deviation,-1.0774420502538948,2855333.0425149743,1.0774420502538948,
OP_0005,7733210.0,regression_deviation,-1.8429339465773793,2720151.1344679836,1.8429339465773793,
OP_0005,5731581.0,regression_deviation,-1.3467551892501868,2442342.953476669,1.3467551892501868,
OP_0005,16389196.2,regression_deviation,-1.788003265766253,5878470.947735997,1.788003265766253,
OP_0005,24552327.01,regression_deviation,-2.677128916439827,6677037.321218373,2.677128916439827,
OP_0005,13174762.78,regression_deviation,-1.234981496516945,5894797.250237598,1.234981496516945,
OP_0005,30896334.97,regression_deviation,-1.5752700698697815,11997318.390595932,1.5752700698697815,
OP_0005,51775877.44,regression_deviation,-3.4654349812856156,11594811.626860488,3.4654349812856156,
OP_0005,21000.0,regression_deviation,-1.0822180309676663,-255418.42528749723,1.0822180309676663,
OP_0005,40000.0,regression_deviation,-1.1572611649939955,-254353.95955210738,1.1572611649939955,
OP_0005,11000.0,regression_deviation,-1.04306658764973,-255418.42528749723,1.04306658764973,
OP_0005,108000.0,regression_deviation,-1.4246051454837876,-254353.95955210738,1.4246051454837876,
OP_0005,32000.0,regression_deviation,-1.1252846186173961,-255418.42528749723,1.1252846186173961,
OP_0005,30000.0,regression_deviation,-1.1164834319311485,-257547.3567582774,1.1164834319311485,
OP_0005,16000.0,regression_deviation,-1.0623823286465226,-256482.89102288755,1.0623823286465226,
OP_0005,35000.0,regression_deviation,-1.1364613439142681,-256482.89102288755,1.1364613439142681,
OP_0005,47426931.59,regression_deviation,-2.295589640187506,14391030.670706198,2.295589640187506,
OP_0005,918500.0,regression_deviation,-7.347002163179842,-144713.98880693503,7.347002163179842,
OP_0005,12000.0,regression_deviation,-1.0464015909415505,-258611.82249366725,1.0464015909415505,
OP_0005,20000.0,regression_deviation,-1.0770189690263834,-259676.28822905757,1.0770189690263834,
OP_0005,21000.0,regression_deviation,-1.081538402351804,-257547.3567582774,1.081538402351804,
OP_0005,40000.0,regression_deviation,-1.1546719698051682,-258611.82249366725,1.1546719698051682,
OP_0005,25000.0,regression_deviation,-1.09666998112823,-258611.82249366725,1.09666998112823,
OP_0005,12000.0,regression_deviation,-1.0465933727724595,-257547.3567582774,1.0465933727724595,
OP_0005,39000.0,regression_deviation,-1.1533296358691456,-254353.95955210738,1.1533296358691456,
OP_0005,50000.0,regression_deviation,-1.1925474225659585,-259676.28822905757,1.1925474225659585,
OP_0016,4013489.0,regression_deviation,-2.047454862574278,1316997.0289928047,2.047454862574278,
OP_0009,352900.0,regression_deviation,-0.9275854769682063,183078.78131301192,0.9275854769682063,
OP_0009,359500.0,regression_deviation,-1.5941973536552367,138578.50849067545,1.5941973536552367,
OP_0009,408000.0,regression_deviation,-0.9292782576242591,211478.0480149178,0.9292782576242591,
OP_0009,178500.0,regression_deviation,-0.8191321024811772,98123.71501582413,0.8191321024811772,
OP_0009,359000.0,regression_deviation,-0.8582503863061082,193192.47968172477,0.8582503863061082,
OP_0009,235000.0,regression_deviation,-0.9199881131214688,122396.59110073492,0.9199881131214688,
OP_0009,213500.0,regression_deviation,-1.0100800816027213,106214.67371079439,1.0100800816027213,
OP_0009,243700.0,regression_deviation,-0.7585699446057891,138578.50849067545,0.7585699446057891,
OP_0009,212500.0,regression_deviation,-1.3083901477481972,92055.49599459642,1.3083901477481972,
OP_0009,177700.0,regression_deviation,-1.0190883580049017,88010.01664711129,1.0190883580049017,
OP_0009,130500.0,regression_deviation,-0.8168377187980773,71828.09925717076,0.8168377187980773,
OP_0009,142000.0,regression_deviation,-1.0949323025460287,67782.61990968563,1.0949323025460287,
OP_0009,128000.0,regression_deviation,-1.1443531206071555,59691.661214715365,1.1443531206071555,
OP_0009,119000.0,regression_deviation,-0.7556122817111085,67782.61990968563,0.7556122817111085,
OP_0009,143000.0,regression_deviation,-1.0485533038346846,69805.3595834282,1.0485533038346846,
OP_0009,97500.0,regression_deviation,-0.9665995616409522,49577.962846002534,0.9665995616409522,
OP_0009,147000.0,regression_deviation,-1.0465528326690987,71828.09925717076,1.0465528326690987,
OP_0009,119500.0,regression_deviation,-2.8089706207289376,31373.305782319432,2.8089706207289376,
OP_0009,59000.0,regression_deviation,-2.06702737669376,19236.867739864032,2.06702737669376,
OP_0009,73000.0,regression_deviation,-1.0610531878060157,35418.785129804564,1.0610531878060157,
