operator,tier,stake_real_money,predicted_stake,deviation_pct,deviation_threshold_used,r2_score,anomaly_type,anomaly_score,stake_z_score
OP_0005,very_high,459420.98,-551993.7125023073,1.8322938642133169,1.0399875710108235,0.99718141510368,regression_deviation,-1.8322938642133169,
OP_0005,very_high,11229705.76,3481168.0696794624,2.2258441808108405,1.0399875710108235,0.99718141510368,regression_deviation,-2.2258441808108405,
OP_0005,very_high,12030291.99,1885935.0495666382,5.3789535025420925,1.0399875710108235,0.99718141510368,regression_deviation,-5.3789535025420925,
OP_0005,very_high,21462686.91,2651649.199889167,7.094089863356394,1.0399875710108235,0.99718141510368,regression_deviation,-7.094089863356394,
OP_0005,very_high,10993001.87,2486306.9564312026,3.421417814709067,1.0399875710108235,0.99718141510368,regression_deviation,-3.421417814709067,
OP_0005,very_high,12412053.67,2611395.650782257,3.7530345186421314,1.0399875710108235,0.99718141510368,regression_deviation,-3.7530345186421314,
OP_0005,very_high,9557367.71,3531329.7539875717,1.7064500841950083,1.0399875710108235,0.99718141510368,regression_deviation,-1.7064500841950083,
OP_0005,very_high,35102035.15,4919999.941695051,6.134560074386211,1.0399875710108235,0.99718141510368,regression_deviation,-6.134560074386211,
OP_0005,very_high,34925571.48,2545664.3579857405,12.719629365292638,1.0399875710108235,0.99718141510368,regression_deviation,-12.719629365292638,
OP_0005,very_high,12047367.91,3608591.1048808955,2.3385239723350795,1.0399875710108235,0.99718141510368,regression_deviation,-2.3385239723350795,
OP_0005,very_high,5117331.62,2016670.4014271428,1.5375151122258768,1.0399875710108235,0.99718141510368,regression_deviation,-1.5375151122258768,
OP_0005,very_high,8278450.01,2616489.075025618,2.1639535930104907,1.0399875710108235,0.99718141510368,regression_deviation,-2.1639535930104907,
OP_0005,very_high,5931788.93,2855333.0425149743,1.0774420502538948,1.0399875710108235,0.99718141510368,regression_deviation,-1.0774420502538948,
OP_0005,very_high,7733210.0,2720151.1344679836,1.8429339465773793,1.0399875710108235,0.99718141510368,regression_deviation,-1.8429339465773793,
OP_0005,very_high,5731581.0,2442342.953476669,1.3467551892501868,1.0399875710108235,0.99718141510368,regression_deviation,-1.3467551892501868,
OP_0005,very_high,16389196.2,5878470.947735997,1.788003265766253,1.0399875710108235,0.99718141510368,regression_deviation,-1.788003265766253,
OP_0005,very_high,24552327.01,6677037.321218373,2.677128916439827,1.0399875710108235,0.99718141510368,regression_deviation,-2.677128916439827,
OP_0005,very_high,13174762.78,5894797.250237598,1.234981496516945,1.0399875710108235,0.99718141510368,regression_deviation,-1.234981496516945,
OP_0005,very_high,30896334.97,11997318.390595932,1.5752700698697815,1.0399875710108235,0.99718141510368,regression_deviation,-1.5752700698697815,
OP_0005,very_high,51775877.44,11594811.626860488,3.4654349812856156,1.0399875710108235,0.99718141510368,regression_deviation,-3.4654349812856156,
OP_0005,very_high,21000.0,-255418.42528749723,1.0822180309676663,1.0399875710108235,0.99718141510368,regression_deviation,-1.0822180309676663,
OP_0005,very_high,40000.0,-254353.95955210738,1.1572611649939955,1.0399875710108235,0.99718141510368,regression_deviation,-1.1572611649939955,
OP_0005,very_high,11000.0,-255418.42528749723,1.04306658764973,1.0399875710108235,0.99718141510368,regression_deviation,-1.04306658764973,
OP_0005,very_high,108000.0,-254353.95955210738,1.4246051454837876,1.0399875710108235,0.99718141510368,regression_deviation,-1.4246051454837876,
OP_0005,very_high,32000.0,-255418.42528749723,1.1252846186173961,1.0399875710108235,0.99718141510368,regression_deviation,-1.1252846186173961,
OP_0005,very_high,30000.0,-257547.3567582774,1.1164834319311485,1.0399875710108235,0.99718141510368,regression_deviation,-1.1164834319311485,
OP_0005,very_high,16000.0,-256482.89102288755,1.0623823286465226,1.0399875710108235,0.99718141510368,regression_deviation,-1.0623823286465226,
OP_0005,very_high,35000.0,-256482.89102288755,1.1364613439142681,1.0399875710108235,0.99718141510368,regression_deviation,-1.1364613439142681,
OP_0005,very_high,47426931.59,14391030.670706198,2.295589640187506,1.0399875710108235,0.99718141510368,regression_deviation,-2.295589640187506,
OP_0005,very_high,918500.0,-144713.98880693503,7.347002163179842,1.0399875710108235,0.99718141510368,regression_deviation,-7.347002163179842,
OP_0005,very_high,12000.0,-258611.82249366725,1.0464015909415505,1.0399875710108235,0.99718141510368,regression_deviation,-1.0464015909415505,
OP_0005,very_high,20000.0,-259676.28822905757,1.0770189690263834,1.0399875710108235,0.99718141510368,regression_deviation,-1.0770189690263834,
OP_0005,very_high,21000.0,-257547.3567582774,1.081538402351804,1.0399875710108235,0.99718141510368,regression_deviation,-1.081538402351804,
OP_0005,very_high,40000.0,-258611.82249366725,1.1546719698051682,1.0399875710108235,0.99718141510368,regression_deviation,-1.1546719698051682,
OP_0005,very_high,25000.0,-258611.82249366725,1.09666998112823,1.0399875710108235,0.99718141510368,regression_deviation,-1.09666998112823,
OP_0005,very_high,12000.0,-257547.3567582774,1.0465933727724595,1.0399875710108235,0.99718141510368,regression_deviation,-1.0465933727724595,
OP_0005,very_high,39000.0,-254353.95955210738,1.1533296358691456,1.0399875710108235,0.99718141510368,regression_deviation,-1.1533296358691456,
OP_0005,very_high,50000.0,-259676.28822905757,1.1925474225659585,1.0399875710108235,0.99718141510368,regression_deviation,-1.1925474225659585,
OP_0016,high,4013489.0,1316997.0289928047,2.047454862574278,0.75,0.9913314000282686,regression_deviation,-2.047454862574278,
OP_0009,zero,352900.0,183078.78131301192,0.9275854769682063,0.75,0.9528085605747424,regression_deviation,-0.9275854769682063,
