operator,tier,stake_real_money,predicted_stake,deviation_pct,anomaly_type,anomaly_score,stake_z_score
OP_0024,high,3119902.07,11863975.678214284,0.7370272702320986,isolation_forest,-0.5759365278709488,-1.8415140080134436
OP_0024,high,2541221.76,11863975.678214284,0.7858035258225939,isolation_forest,-0.5879009643824767,-1.9633848824792623
OP_0024,high,20091007.25,11863975.678214284,0.693446429335905,isolation_forest,-0.5726305359917552,1.7326242392996312
OP_0024,high,8583202.05,11863975.678214284,0.2765323966601465,isolation_forest,-0.573152046086405,-0.6909354683156088
OP_0024,high,18023111.68,11863975.678214284,0.5191460408247198,isolation_forest,-0.6249519626982557,1.2971225692671866
OP_0024,high,11853578.65,11863975.678214284,0.000876352792375937,isolation_forest,-0.621704517424274,-0.0021896285365584573
OP_0024,high,11368122.44,11863975.678214284,0.04179486300910202,isolation_forest,-0.5808169202366917,-0.1044273784741056
OP_0024,high,29756613.39,11863975.678214284,1.5081485496166194,isolation_forest,-0.6778056281603148,3.768214274364048
OP_0024,high,26900344.26,11863975.678214284,1.267397117932134,isolation_forest,-0.6463633878489198,3.1666800410965923
OP_0024,high,15136465.72,11863975.678214284,0.2758341832911005,isolation_forest,-0.5859233222722589,0.6891909335451714
OP_0024,high,13162373.83,11863975.678214284,0.10944039224304494,isolation_forest,-0.5879789652488795,0.27344444839142384
OP_0024,high,16634621.39,11863975.678214284,0.402111892436362,isolation_forest,-0.5997876112185876,1.0047045918357473
OP_0024,high,19965948.54,11863975.678214284,0.6829053836197,isolation_forest,-0.6518953471352803,1.7062867018305106
OP_0024,high,14182875.82,11863975.678214284,0.1954572568826058,isolation_forest,-0.5726293461190283,0.48836358036501437
OP_0024,high,18023111.68,11863975.678214284,0.5191460408247198,isolation_forest,-0.6342981893029177,1.2971225692671866
OP_0024,high,28716493.37,11863975.678214284,1.4204781052216626,isolation_forest,-0.5908797137740464,3.549163558111398
OP_0001,low,7081448.0,1386788.0418410043,4.10636650039119,isolation_forest,-0.5544795635877016,3.149450525840423
OP_0001,low,6900489.0,1386788.0418410043,3.9758786431698576,isolation_forest,-0.5731252881090833,3.049370552340161
OP_0001,low,7718226.0,1386788.0418410043,4.5655412125949795,isolation_forest,-0.5846979983327555,3.5016227049834887
OP_0001,low,4773970.0,1386788.0418410043,2.442465507318917,isolation_forest,-0.5438102746310742,1.8732921855951838
OP_0001,low,6313141.0,1386788.0418410043,3.5523474456984134,isolation_forest,-0.5495756042634857,2.7245357981945695
OP_0001,low,7791139.0,1386788.0418410043,4.618118100915423,isolation_forest,-0.6380346748774741,3.541947480804667
OP_0001,low,5536029.0,1386788.0418410043,2.9919791871371704,isolation_forest,-0.5467443987618305,2.294751436174798
OP_0001,low,6843520.0,1386788.0418410043,3.9347988254319057,isolation_forest,-0.579033635410721,3.017863658456262
OP_0001,low,1280467.0,1386788.0418410043,0.07666711756459897,isolation_forest,-0.5754078739877012,-0.05880120386368176
OP_0001,low,6154577.0,1386788.0418410043,3.4380084153520736,isolation_forest,-0.5860360701838835,2.636841453519281
OP_0001,low,7689651.0,1386788.0418410043,4.544936045015033,isolation_forest,-0.6594880656141413,3.4858192067171965
OP_0001,low,6061271.0,1386788.0418410043,3.3707263237960103,isolation_forest,-0.5431638175089261,2.5852382615950575
OP_0001,low,7040425.0,1386788.0418410043,4.0767851954171865,isolation_forest,-0.6039932574518879,3.1267626200004193
OP_0001,low,6248938.0,1386788.0418410043,3.506051257627186,isolation_forest,-0.5417182232187728,2.689028116683082
OP_0001,low,12497876.0,1386788.0418410043,8.012102515254373,isolation_forest,-0.7706771528566296,6.145023946925193
OP_0001,low,5250915.0,1386788.0418410043,2.78638612504132,isolation_forest,-0.7954021590544168,2.1370681954155444
OP_0001,low,4200727.0,1386788.0418410043,2.0291052945794115,isolation_forest,-0.5521751983924963,1.5562582483540914
OP_0001,low,5594299.0,1386788.0418410043,3.0339971439134956,isolation_forest,-0.5416775891060053,2.326977852411958
OP_0001,low,6589752.0,1386788.0418410043,3.751809073325942,isolation_forest,-0.5461831422473424,2.8775164266788176
OP_0001,low,90924.0,1386788.0418410043,0.9344355465603125,isolation_forest,-0.6162995697301107,-0.7166818946136445
OP_0001,low,82163.0,1386788.0418410043,0.9407530224367049,isolation_forest,-0.7156065664379482,-0.7215271946420255
OP_0001,low,48624.0,1386788.0418410043,0.9649376843951941,isolation_forest,-0.6034150841811213,-0.7400760495275261
OP_0001,low,246516.0,1386788.0418410043,0.8222395978604327,isolation_forest,-0.6325021242384136,-0.6306312243687117
OP_0001,low,705765.0,1386788.0418410043,0.4910794016776529,isolation_forest,-0.5968870568847162,-0.37664204588064554
OP_0001,low,2021465.0,1386788.0418410043,0.45765967041109057,isolation_forest,-0.5497634752774269,0.351010191003373
OP_0001,low,3961733.0,1386788.0418410043,1.8567689369030587,isolation_forest,-0.568675226954033,1.424081826143968
OP_0001,low,3954912.0,1386788.0418410043,1.8518503770408428,isolation_forest,-0.5538065943958763,1.4203094495324413
OP_0022,mid,1188180.34,281780.19828122907,3.2166921140929277,isolation_forest,-0.5924722423998293,1.9314891761512027
OP_0022,mid,1360488.96,281780.19828122907,3.8281922161264577,isolation_forest,-0.6807454508719589,2.298669430400117
OP_0022,mid,782415.54,281780.19828122907,1.7766874491979554,isolation_forest,-0.6234329755626191,1.0668265584060195
OP_0022,mid,1465166.08,281780.19828122907,4.199677226920324,isolation_forest,-0.5949771825773482,2.521730653545217
OP_0022,mid,3949629.69,281780.19828122907,13.01670420452361,isolation_forest,-0.7177285938533655,7.815986854958567
