operator,no_of_bets,game_type,stake_real_money,stake_free_money,movement_wager_amt,movement_win_amt,is_weekend
OP_0005,6359.0,RRI_slot,3479853.16,0.0,21919887.940000005,15516843.54,0
OP_0006,864626.0,CTG_multi,3073194881.14,0.0,18249208810.8,11626839530.962,0
OP_0001,55.0,RRI_sports,6216312.0,0.0,7849115.0,4057974.0,0
OP_0009,127.0,RRI_sports,202000.0,0.0,0.0,0.0,0
OP_0002,8377.0,CTG_multi,21204410.0,0.0,48249670.0,20485510.1,0
OP_0003,2746.0,RRI_sports,234306.0,10200.0,923598.0,301051.32,0
OP_0004,865.0,CTG_multi,14883782.63,0.0,106566717.52,94472853.56,0
OP_0005,1608.0,RRI_slot,1396389.1,0.0,10048011.76,5869899.2,0
OP_0006,1049296.0,CTG_multi,3272539629.58,0.0,19746946518.6,12683609790.262,0
OP_0007,34848.0,RRI_roulette,133764357.0,0.0,1478027222.0,1329301110.0,0
OP_0001,71.0,RRI_sports,4419942.0,0.0,5800342.0,3271219.0,0
OP_0009,144.0,RRI_sports,218500.0,0.0,0.0,0.0,0
OP_0002,13156.0,CTG_multi,42856025.0,0.0,46843544.0,27365772.81,1
OP_0010,10114.0,CTG_multi,49486338.29,36000.0,410509168.0200001,320892831.8600001,1
OP_0003,3506.0,RRI_sports,1002533.0,23000.0,2076170.0,527410.2,1
OP_0004,1283.0,CTG_multi,16047196.0,0.0,85568790.0,63558121.2,1
OP_0005,2555.0,RRI_slot,1356931.47,0.0,7158736.539999999,4693094.13,1
OP_0006,1718728.0,CTG_multi,5912553895.59,0.0,28717426350.91999,20465170847.82,1
OP_0007,35636.0,RRI_roulette,110800264.0,0.0,1632986101.0,1482828515.0,1
OP_0001,137.0,RRI_sports,7718226.0,0.0,8255236.0,3244592.0,1
OP_0009,260.0,RRI_sports,391600.0,0.0,0.0,0.0,1
OP_0002,11401.0,CTG_multi,31699734.0,0.0,33226154.0,33350383.77,1
OP_0003,3147.0,RRI_sports,1098977.0,11200.0,2237670.0,2620521.3,1
OP_0004,997.0,CTG_multi,13576473.37,0.0,76664231.96,62892273.32000001,1
OP_0005,1866.0,RRI_slot,836067.53,0.0,4817536.660000001,3907917.63,1
OP_0006,2400107.0,CTG_multi,7132371755.65,0.0,13506906163.22,8614539109.900002,1
OP_0007,35971.0,RRI_roulette,117824003.0,0.0,3147719376.0,2891467822.0,1
OP_0001,98.0,RRI_sports,4773970.0,0.0,10241174.0,3260216.0,1
OP_0009,265.0,RRI_sports,456000.0,0.0,0.0,0.0,1
OP_0002,5922.0,CTG_multi,13845888.0,0.0,16210054.0,14536055.98,0
OP_0003,1056.0,RRI_sports,454120.0,1000.0,1336398.0,1063444.38,0
OP_0004,620.0,CTG_multi,7273436.68,0.0,45753866.56,34006286.14000001,0
OP_0005,1155.0,RRI_slot,459420.98,0.0,3272549.9699999997,11757604.26,0
OP_0006,844855.0,CTG_multi,2631766553.29,0.0,7884377725.75,5778063448.425,0
OP_0007,33804.0,RRI_roulette,133742727.0,0.0,1633389894.0,1568999871.0,0
OP_0001,57.0,RRI_sports,4405298.0,0.0,8906396.0,7611494.0,0
OP_0009,108.0,RRI_sports,181000.0,0.0,0.0,0.0,0
OP_0002,10948.0,CTG_multi,28759246.0,0.0,61353706.0,38656333.78,0
OP_0003,3417.0,RRI_sports,861307.0,906.0,885007.0,500751.48,0
