tier,n_operators,n_test_samples,r2_score,rmse,mae,relative_rmse_pct,relative_mae_pct,mean_stake,std_stake
high,2,96,0.944038036344129,691380495.7684108,472330382.6686063,17.362189658884486,11.861326340181837,3982104269.979687,2922608554.4926825
mid,12,692,0.9765556593466469,14955146.275167616,6634003.061635021,28.231344148997284,12.523235819465153,52973553.778518155,97672353.73625149
low,7,305,0.6906318771779796,268753.0663868014,113360.81593463587,96.98323870308595,40.90780886400076,277112.90113705996,483187.45153226046
