date,operator,operator_tier,is_anomaly_combined,anomaly_type,is_anomaly_stake,is_anomaly_payout,total_stake,stake_predicted,stake_deviation,stake_deviation_pct,anomaly_score_stake,total_payout,payout_predicted,payout_deviation,payout_deviation_pct,anomaly_score_payout,pct_RRI_casinoGame_stake,pct_RRI_fantasy_stake,pct_RRI_fixedOdds_stake,pct_RRI_landFixedOdds_stake,pct_RRI_casinoGame_payout,pct_RRI_fantasy_payout,pct_RRI_fixedOdds_payout,pct_RRI_landFixedOdds_payout
2024-12-30,SAH,Medium,0,Normal,0,0,7081448.0,6797661.579094168,283786.4209058322,4.174765360173293,-0.520737399908535,4291210.0,3993838.218207501,297371.7817924991,7.445764338595677,-0.374022489567978,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,ABA,Medium+,0,Normal,0,0,12286002.0,11902729.365663111,383272.6343368888,3.220039896416954,-0.5835123576339968,9898330.06,24974072.239910677,-15075742.179910677,-60.365574484958714,-0.3171282192084274,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,BET,Small,0,Normal,0,0,159822.0,-314239.60444050655,474061.60444050655,-150.85991636367984,-0.35912450857044265,4305.0,254722.88834749928,-250417.88834749928,-98.30992808383712,-0.41136803828203705,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,ELD,Medium+,0,Normal,0,0,5526866.0,11902729.365663111,-6375863.365663111,-53.56639783860116,-0.3935639053106453,2533345.0,20914786.193470754,-18381441.193470754,-87.8873014690876,-0.31823690309101055,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,ENT,Large,0,Normal,0,0,1367194.18,2507789.373089686,-1140595.193089686,-45.482096914878944,-0.3938178480087019,1487409.24,3839182.555857908,-2351773.3158579078,-61.25713694623667,-0.370824110473826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-12-31,INT,Top Tier,1,Payout Only,0,1,4340922672.62,5829954017.337484,-1489031344.7174845,-25.54104784170354,-0.6627218052102951,1218366880.972,376410296.1843147,841956584.7876852,223.6805404428706,-0.7613483408080681,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,MAS,Top Tier,0,Normal,0,0,98228565.0,5829954017.337484,-5731725452.337484,-98.31510566450642,-0.4985322659937196,94179477.0,375597657.1534131,-281418180.1534131,-74.92543544766247,-0.692149733475491,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-12-31,SAH,Medium,0,Normal,0,0,5133630.0,7212983.42665192,-2079353.4266519202,-28.82792464167774,-0.5097757570837811,2518999.0,2852329.9746760195,-333330.9746760195,-11.686269738615383,-0.37162254249847576,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2024-12-31,TIT,Micro,0,Normal,0,0,73000.0,78122.049444745,-5122.049444745004,-6.556470908213669,-0.4194642494828081,25368.0,81068.12620657569,-55700.12620657569,-68.70780023290791,-0.3586784262081481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-01,ABA,Medium+,0,Normal,0,0,21011986.0,33107681.708738208,-12095695.708738208,-36.53440858574448,-0.40754416865857257,12084410.3,15190317.478947375,-3105907.178947374,-20.44662452415445,-0.30939847781706503,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,BET,Small,0,Normal,0,0,109945.0,532614.4503383983,-422669.45033839834,-79.35748834261894,-0.31510948016108276,109271.39,238906.80558558705,-129635.41558558705,-54.261918268856455,-0.38207660808883076,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,ELD,Medium+,0,Normal,0,0,7361837.91,33107681.708738208,-25745843.798738208,-77.76395830198835,-0.37080254162618664,2953530.58,3743755.363901198,-790224.7839011978,-21.107810395969366,-0.30939847781706503,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,ENT,Large,0,Normal,0,0,1537499.0,1191098.7362082005,346400.26379179955,29.082413847112825,-0.5133875715039277,1363806.1,5841702.377499195,-4477896.277499195,-76.65396126216484,-0.4138255399894765,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-01-01,INT,Top Tier,1,Stake Only,1,0,2672959439.82,2029602143.904523,643357295.9154773,31.698690201311802,-0.7024521061006588,1376586905.277,1001664732.5751543,374922172.70184565,37.42990648557305,-0.48185273320653016,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,MAS,Top Tier,0,Normal,0,0,154208508.0,2029602143.904523,-1875393635.904523,-92.40203266127145,-0.540443209449586,143140390.0,248445271.15854916,-105304881.15854916,-42.385544577883,-0.42411721451034123,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-01-01,SAH,Medium,0,Normal,0,0,6745369.0,5576316.650828691,1169052.3491713088,20.96459764345658,-0.531199024252942,3135060.0,3807307.5809671027,-672247.5809671027,-17.65677100341716,-0.3739420033949625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,TIT,Micro,1,Stake Only,1,0,216300.0,81555.79513566723,134744.20486433277,165.2172045409982,-0.6380927854376512,0.0,73664.1302364185,-73664.1302364185,-100.0,-0.4383039168555643,0.0,0.0,0.0,1.0,,,,
2025-01-02,ABA,Medium+,0,Normal,0,0,15346491.0,25340037.45466107,-9993546.454661071,-39.43777302042957,-0.3975512551816425,6139878.0,13672978.329099275,-7533100.329099275,-55.09480193548678,-0.31579810011395504,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
