date,operator,operator_tier,is_anomaly_combined,anomaly_type,is_anomaly_stake,is_anomaly_payout,total_stake,stake_predicted,stake_deviation,stake_deviation_pct,anomaly_score_stake,total_payout,payout_predicted,payout_deviation,payout_deviation_pct,anomaly_score_payout,pct_RRI_casinoGame_stake,pct_RRI_fantasy_stake,pct_RRI_fixedOdds_stake,pct_RRI_landFixedOdds_stake,pct_RRI_casinoGame_payout,pct_RRI_fantasy_payout,pct_RRI_fixedOdds_payout,pct_RRI_landFixedOdds_payout
2024-12-31,INT,Top Tier,1,Payout Only,0,1,4340922672.62,5829954017.337484,-1489031344.7174845,-25.54104784170354,-0.6627218052102951,1218366880.972,376410296.1843147,841956584.7876852,223.6805404428706,-0.7613483408080681,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,INT,Top Tier,1,Stake Only,1,0,2672959439.82,2029602143.904523,643357295.9154773,31.698690201311802,-0.7024521061006588,1376586905.277,1001664732.5751543,374922172.70184565,37.42990648557305,-0.48185273320653016,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-01,TIT,Micro,1,Stake Only,1,0,216300.0,81555.79513566723,134744.20486433277,165.2172045409982,-0.6380927854376512,0.0,73664.1302364185,-73664.1302364185,-100.0,-0.4383039168555643,0.0,0.0,0.0,1.0,,,,
2025-01-02,INT,Top Tier,1,Stake Only,1,0,1737816046.73,1074947659.0002623,662868387.7297378,61.66517803724768,-0.7670357753301549,1070591073.24,1231535422.260839,-160944349.02083898,-13.068592759222398,-0.4347130363905669,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-03,INT,Top Tier,1,Stake Only,1,0,1757198764.99,1306325582.4999666,450873182.4900334,34.514610180654934,-0.7202590335817024,1444399514.247,1774741542.150472,-330342027.90347195,-18.613528790405912,-0.46315324733448554,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-03,TIT,Micro,1,Both,1,1,363000.0,147955.62717531886,215044.37282468114,145.34382836947864,-0.621721837957281,497094.0,141855.99905426177,355238.0009457382,250.42155658842108,-0.5171796775397647,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-04,TIT,Micro,1,Stake Only,1,0,581500.0,258197.60478713166,323302.39521286834,125.21510239392487,-0.5972818749590929,102934.0,287372.3451286146,-184438.34512861457,-64.18096530689775,-0.36041540261724847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-06,BET,Small,1,Stake Only,1,0,396018.0,27181.405671652174,368836.5943283478,1356.9445185574496,-0.6026591902504236,586251.0,477348.6184594851,108902.38154051488,22.81401418777919,-0.39575587954824337,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-10,ENT,Large,1,Stake Only,1,0,1396389.1,159926.59116783738,1236462.5088321627,773.1437904122764,-0.7040598785796874,1478487.5,6062519.4372334685,-4584031.9372334685,-75.61265550886739,-0.4110172251292208,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-01-11,ABE,Large,1,Stake Only,1,0,49522338.29,13955304.349819586,35567033.94018041,254.86390729013536,-0.7764342755948077,32935283.0,30149434.753547635,2785848.246452365,9.24013424870116,-0.4803005297785058,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-11,TIT,Micro,1,Stake Only,1,0,391600.0,259440.7915371806,132159.2084628194,50.940026693481464,-0.4834302413634286,0.0,179985.02982170653,-179985.02982170653,-100.0,-0.4383039168555643,0.0,0.0,0.0,1.0,,,,
2025-01-12,TIT,Micro,1,Stake Only,1,0,456000.0,275386.9557571239,180613.04424287612,65.58518494324287,-0.503361579541916,205340.0,287058.575692283,-81718.57569228299,-28.46756119206922,-0.36722147508943676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-14,TIT,Micro,1,Stake Only,1,0,315500.0,208436.89293668,107063.10706332,51.36475868302458,-0.4811574451472608,187626.0,148141.40460366648,39484.59539633352,26.653315122783898,-0.3937673089268979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-15,ABE,Large,1,Payout Only,0,1,2915175.79,5818516.036001086,-2903340.246001086,-49.89829413611921,-0.4339619034356495,2821279.25,-3526395.142011825,6347674.392011825,-180.00462615174905,-0.6439319059943295,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-18,TIT,Micro,1,Stake Only,1,0,458000.0,236044.5459769655,221955.4540230345,94.03117242314681,-0.5497870893063256,55777.0,161812.99777801623,-106035.99777801623,-65.52996312662232,-0.36015876608471714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-19,TIT,Micro,1,Stake Only,1,0,445500.0,279543.21338245115,165956.78661754885,59.36713133167664,-0.49449270407700563,64463.0,324591.3652731357,-260128.3652731357,-80.14026037145014,-0.3597590782534999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2025-01-21,INT,Top Tier,1,Stake Only,1,0,3571037287.6,2804115939.373541,766921348.226459,27.349844471758704,-0.6881579737070715,3658292849.087,3758686599.8263617,-100393750.73936176,-2.6709795582318465,-0.405348331811327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-01-25,TIT,Micro,1,Stake Only,1,0,510500.0,255399.68062473694,255100.31937526306,99.88278714807254,-0.5641688617538643,5426.0,216303.46202186507,-210877.46202186507,-97.4914872146376,-0.3630130537628405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
