date,GGR,num_operators,operators_list,num_reports,total_bets,total_stake,total_payout,modal_game_type,is_missing,GGR_interpolated,was_interpolated,expected_GGR
2024-12-30,2790238.0,1,SAH,2,101,7081448.0,4291210.0,RRI_sports,0,2790238.0,0,2790238.0
2024-12-31,3134493737.5379996,9,"ABA,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",11,1645245,4463697751.8,1329014114.2719998,RRI_sports,0,3134493737.5379996,0,3134493737.5379996
2025-01-01,1324484758.0830002,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,989808,2864150884.73,1539373373.6469998,RRI_sports,0,1324484758.0830002,0,1324484758.0830002
2025-01-02,689647803.71,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,580974,1865427529.57,1175749834.86,RRI_sports,0,689647803.71,0,689647803.71
2025-01-03,341668774.1729999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,542616,1882152803.04,1540380970.707,RRI_sports,0,341668774.1729999,0,341668774.1729999
2025-01-04,1054617044.226,9,"ABA,ABE,BET,ELD,INT,MAS,RUB,SAH,TIT",12,1980738,6354672285.97,5299793606.464,RRI_sports,0,1054617044.226,0,1054617044.226
2025-01-05,3510390985.57,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,2094543,6458193332.240001,2947673135.4700003,RRI_sports,0,3510390985.57,0,2551845787.5022254
2025-01-06,648598666.8969998,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,963741,2784358250.49,2135724767.583,RRI_sports,0,648598666.8969998,0,576342258.8874105
2025-01-07,61842319.75099978,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,754783,2426184003.33,2364248832.579,RRI_sports,0,61842319.75099978,0,915819889.3261817
2025-01-08,737900013.0529999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,975805,3318074742.05,2580130226.997,RRI_sports,0,737900013.0529999,0,752654909.9744589
2025-01-09,1472618769.051,9,"ABA,ABE,BET,ELD,ENT,INT,RUB,SAH,TIT",12,879514,3116443665.23,1643770836.179,RRI_sports,0,1472618769.051,0,1038307523.3424162
2025-01-10,1323089343.3279998,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1097983,3448671516.31,2125520767.982,RRI_sports,0,1323089343.3279998,0,743674529.2125474
2025-01-11,978679372.232,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1785375,6142272009.35,5162815504.118,CTG_multi,0,978679372.232,0,989406192.5501891
2025-01-12,2959945053.385999,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",15,2453874,7302648180.549999,4342585127.164,RRI_other,0,2959945053.385999,0,2357123799.065252
2025-01-13,423607203.282,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,887598,2792129443.95,2368485139.6679997,RRI_sports,0,423607203.282,0,623731411.836904
2025-01-14,303209324.606,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",14,867495,3086669863.99,2783430638.3840003,RRI_other,0,303209324.606,0,548915180.5224749
2025-01-15,1201159430.525,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1568109,5031229526.51,3830019845.985,RRI_sports,0,1201159430.525,0,833089690.5363227
2025-01-16,-348267646.5410001,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1488843,4574390212.53,4922405120.071,RRI_sports,0,-348267646.5410001,0,762242651.4669253
2025-01-17,1720316282.343,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1218808,4544428747.69,2824068722.347,RRI_sports,0,1720316282.343,0,753742175.713631
2025-01-18,1871457185.642001,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",12,2028228,6792589730.120001,4921113416.478,RRI_sports,0,1871457185.642001,0,2447922874.7932744
2025-01-19,566121645.6839993,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,2120791,6970273356.11,6404120608.426001,RRI_sports,0,566121645.6839993,0,1877656088.814555
2025-01-20,50754739.672999926,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",27,1232719,3891880457.71,3841094288.037,RRI_other,0,50754739.672999926,0,452583582.53368574
2025-01-21,-57602183.506999984,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,970877,3737656016.28,3795245528.787,RRI_sports,0,-57602183.506999984,0,553364672.2555947
2025-01-22,-323095335.327,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1415381,5114863766.46,5437955481.787001,RRI_sports,0,-323095335.327,0,745440033.4411091
2025-01-23,1607240285.229,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1685370,6031303155.38,4423764205.071,RRI_sports,0,1607240285.229,0,872219399.6951206
2025-01-24,2614627128.263,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1875115,5370045413.059999,2755380066.797,RRI_sports,0,2614627128.263,0,1961832370.6081092
2025-01-25,115900404.315,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1593016,6032443585.84,5916279248.605,RRI_sports,0,115900404.315,0,680030379.5786098
2025-01-26,1894604386.853,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1991931,7270806504.44,5375231430.467,RRI_sports,0,1894604386.853,0,2458055374.6742597
2025-01-27,2444706018.5079994,10,"ABA,ABE,BET,ELD,ENT,INT,MAS,RUB,SAH,TIT",13,1732557,4741718006.929999,2296806688.4220004,RRI_sports,0,2444706018.5079994,0,1384609724.2740278
