operator,total_records,anomalies_flagged,anomaly_rate,median_deviation_pct,median_stake_z_score
OP_0017,134,14,0.1044776119402985,1.5770976297220002e-06,1.4669495501307694
OP_0022,163,17,0.10429447852760736,0.10636930693785666,1.9493677264127258
OP_0024,156,16,0.10256410256410256,0.14600167776668424,1.2896789139166516
OP_0006,342,35,0.1023391812865497,0.06225794685147539,2.6511869494185873
OP_0016,235,24,0.10212765957446808,1.4692484353916742e-15,2.2095813956168433
OP_0009,333,34,0.1021021021021021,0.009714433338166982,2.777189949055445
OP_0025,147,15,0.10204081632653061,0.0,1.2949469471245794
OP_0020,216,22,0.10185185185185185,0.011852749459913704,2.9843693459523477
OP_0001,266,27,0.10150375939849623,0.5363183291854879,2.2707089677200365
OP_0007,335,34,0.10149253731343283,0.1892506016115756,1.6730792405865327
OP_0015,247,25,0.10121457489878542,0.0,2.8006393637036364
OP_0013,247,25,0.10121457489878542,0.0,0.3259079846047582
OP_0028,119,12,0.10084033613445378,0.3443532313274338,5.709722290444848
OP_0011,278,28,0.10071942446043165,0.051027221908514185,2.6514977206995662
OP_0023,149,15,0.10067114093959731,0.1353427613288809,1.8050093301486327
OP_0002,338,34,0.10059171597633136,7.31220534156731e-16,2.290137838461719
OP_0005,378,38,0.10052910052910052,0.27188655145162266,24.168602409274833
OP_0012,269,27,0.10037174721189591,0.0,4.537673901648842
OP_0004,588,59,0.10034013605442177,0.20762465279776476,-0.15628483507604787
OP_0003,390,39,0.1,0.1355305100439624,2.975487396116002
OP_0010,131,13,0.09923664122137404,0.035894111533822784,1.8630573121601612
