operator,tier,payout_base_win,predicted_payout,regression_r2,deviation_pct,anomaly_score_if,payout_z_score,no_of_bets,stake_real_money,stake_free_money,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,game_type,is_weekend,anomaly_flagged_by
OP_0005,noise,86048955.48,53148472.353763774,1.0,0.619029704320492,-0.6210556655668963,13.966685673824957,88356.0,91546319.1,0.0,383061.64,0.0,5114301.98,1153484484.4799998,1122679725.6800003,5444151.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,94161587.45,60833287.88527323,1.0,0.5478628679018847,-0.6308720644225968,15.373351656826776,96453.0,100232072.2,0.0,435259.64,0.0,5635225.11,1305946609.48,1266638375.7,5640693.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,100390035.94,66676116.30191596,1.0,0.5056371232755088,-0.6330198662279772,16.453315181631172,103704.0,107180944.19,0.0,466515.64,0.0,6324392.61,1418974051.6799998,1373890622.6999998,5715305.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,111030481.11,96154198.8032112,1.0,0.1547127685732637,-0.6445142038229371,18.298283906945482,114217.0,118131121.24,0.0,519925.64,0.0,6580714.49,741040985.0699998,748415260.4599999,2913184.74,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,122672430.76,100152386.91825937,1.0,0.22485778456903535,-0.667856191111615,20.31690555883769,124640.0,129703405.57,0.0,573568.64,0.0,6457406.17,759497977.3299998,766068158.4799999,2968427.74,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,134275281.17,105434182.41984719,1.0,0.27354599891812387,-0.6714235155887287,22.328747712895822,135710.0,141721250.84,0.0,650768.64,0.0,6795201.03,1560584236.6999996,1571209779.7200005,6100055.48,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,141366743.6,115500411.38925606,1.0,0.2239501305633448,-0.6251021711231166,23.558351004023105,144242.0,150105903.01,0.0,696496.64,0.0,8042662.77,1602503258.5999997,1610538718.1799998,6248511.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,934371.0,7535901.030197058,1.0,0.876010712420998,-0.651087018950563,-0.7915076089587763,109.0,918500.0,0.0,105000.0,0.0,-120871.0,0.0,0.0,0.0,0.0,RRI_sports,0,isolation_forest
OP_0005,noise,148405721.04,120253763.8119603,1.0,0.23410458297222742,-0.6188149429602575,24.778853814526563,153314.0,158376913.95,0.0,762061.64,0.0,9209131.27,1635954519.7599993,1639129605.4599998,6386241.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,155889905.86,123310161.30593489,1.0,0.26420973104750184,-0.617560171666776,26.076552050527354,163773.0,166798162.88,0.0,806961.64,0.0,10101295.38,1669660650.0999997,1666526098.9000003,6499195.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,162003610.65,125931236.81931807,1.0,0.2864450055583697,-0.6255502408196001,27.136619928622935,172384.0,173250404.98,0.0,835026.64,0.0,10411767.69,1701069456.7799995,1696011919.1595998,6607085.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,177032271.63,143578537.92085612,1.0,0.23299954292322134,-0.6611615736494815,29.742470440369097,185241.0,187970650.59,0.0,858897.64,0.0,10079481.32,926433216.6,919264013.3398,3354805.74,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,191855860.89,148915489.2867271,1.0,0.2883539637746748,-0.6728559924183899,32.31276314379036,198920.0,202243012.71,0.0,901869.64,0.0,9485282.18,969862570.4,960869855.0798,3403177.74,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,202265200.89,155300454.81483185,1.0,0.30241216055139847,-0.6797194387093942,34.1176600672114,209285.0,213781169.3,0.0,925761.64,0.0,10590206.77,1001467766.24,987314487.3498,3439469.74,0.0,RRI_slot,1,isolation_forest
OP_0005,noise,225072593.36,177084717.3434726,1.0,0.2709882407494848,-0.6533651858630997,38.07228086933326,220080.0,237605635.27,0.0,983940.64,0.0,11549101.27,2192260561.159999,2154897709.6596,7116259.48,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,235503177.41,187209851.0115257,1.0,0.2579635961330961,-0.6574353174985463,39.88086134238242,230083.0,249428455.22,0.0,1129443.64,0.0,12795834.17,2237692926.9999986,2193788416.4796014,7443243.48,0.0,RRI_slot,0,isolation_forest
